==TABLE 19
|  |  | EPLO | BKA | WOA | FOX | PLO | ALO | BA | GSA | HHO | MFO |
| F4 | avg | 8.52E+02 | 8.80E+02 | 9.52E+02 | 8.86E+02 | 8.99E+02 | 9.41E+02 | 1.03E+03 | 1.12E+03 | 8.86E+02 | 1.13E+03 |
|  | std | 1.83E+01 | 1.58E+01 | 3.48E+01 | 1.06E+01 | 3.09E+01 | 1.69E+01 | 3.00E+01 | 2.90E+01 | 1.41E+01 | 3.41E+01 |
|  | rank | 1 | 2 | 7 | 4 | 5 | 6 | 8 | 9 | 3 | 10 |
| F5 | avg | 1.12E+03 | 2.14E+03 | 4.00E+03 | 2.39E+03 | 2.06E+03 | 2.93E+03 | 5.08E+03 | 1.47E+04 | 2.97E+03 | 1.55E+04 |
|  | std | 4.01E+02 | 2.98E+02 | 1.90E+03 | 6.29E+01 | 8.33E+02 | 1.05E+03 | 1.27E+03 | 3.56E+03 | 3.35E+02 | 3.63E+03 |
|  | rank | 1 | 3 | 7 | 4 | 2 | 5 | 8 | 9 | 6 | 10 |
| F6 | avg | 3.92E+03 | 8.83E+06 | 7.46E+06 | 3.84E+03 | 1.08E+07 | 6.71E+08 | 4.30E+09 | 9.21E+09 | 2.29E+05 | 9.23E+09 |
|  | std | 2.53E+03 | 4.83E+07 | 6.69E+06 | 3.69E+03 | 1.55E+07 | 5.83E+08 | 1.80E+09 | 2.49E+09 | 1.40E+05 | 3.78E+09 |
|  | rank | 2 | 5 | 4 | 1 | 6 | 7 | 8 | 9 | 3 | 10 |
| F7 | avg | 2.09E+03 | 2.13E+03 | 2.22E+03 | 2.32E+03 | 2.10E+03 | 2.19E+03 | 2.39E+03 | 2.62E+03 | 2.20E+03 | 2.61E+03 |
|  | std | 3.89E+01 | 4.91E+01 | 7.88E+01 | 1.21E+02 | 5.62E+01 | 5.33E+01 | 1.09E+02 | 1.27E+02 | 6.68E+01 | 1.41E+02 |
|  | rank | 1 | 3 | 6 | 7 | 2 | 4 | 8 | 10 | 5 | 9 |
| F8 | avg | 2.23E+03 | 2.30E+03 | 2.31E+03 | 2.56E+03 | 2.27E+03 | 2.59E+03 | 3.77E+03 | 2.21E+04 | 2.31E+03 | 2.26E+04 |
|  | std | 9.22E+00 | 7.99E+01 | 1.09E+02 | 2.15E+02 | 4.96E+01 | 5.36E+02 | 2.50E+03 | 2.26E+04 | 9.40E+01 | 4.65E+04 |
|  | rank | 1 | 3 | 5 | 6 | 2 | 7 | 8 | 9 | 4 | 10 |
| F9 | avg | 2.48E+03 | 2.51E+03 | 2.61E+03 | 2.59E+03 | 2.61E+03 | 2.96E+03 | 3.83E+03 | 4.28E+03 | 2.55E+03 | 4.65E+03 |
|  | std | 5.66E+00 | 5.72E+01 | 5.67E+01 | 6.47E+01 | 7.86E+01 | 1.64E+02 | 5.63E+02 | 6.81E+02 | 3.68E+01 | 8.24E+02 |
|  | rank | 1 | 2 | 5 | 4 | 6 | 7 | 8 | 9 | 3 | 10 |
| F10 | avg | 3.11E+03 | 4.41E+03 | 5.18E+03 | 5.09E+03 | 4.20E+03 | 5.33E+03 | 7.39E+03 | 8.42E+03 | 4.30E+03 | 8.26E+03 |
|  | std | 1.03E+03 | 9.78E+02 | 1.03E+03 | 6.74E+02 | 1.13E+03 | 1.10E+03 | 9.46E+02 | 7.67E+02 | 8.91E+02 | 1.02E+03 |
|  | rank | 1 | 4 | 6 | 5 | 2 | 7 | 8 | 10 | 3 | 9 |
| F11 | avg | 2.90E+03 | 4.16E+03 | 4.06E+03 | 3.94E+03 | 2.95E+03 | 2.04E+04 | 1.14E+05 | 2.27E+05 | 3.54E+03 | 2.27E+05 |
|  | std | 6.38E-01 | 1.34E+03 | 5.95E+02 | 1.00E+03 | 2.28E+01 | 6.62E+03 | 3.34E+04 | 3.87E+04 | 4.79E+02 | 6.03E+04 |
|  | rank | 1 | 6 | 5 | 4 | 2 | 7 | 8 | 9 | 3 | 10 |
| F12 | avg | 2.95E+03 | 3.10E+03 | 3.16E+03 | 3.71E+03 | 3.06E+03 | 3.85E+03 | 4.30E+03 | 4.56E+03 | 3.27E+03 | 4.50E+03 |
|  | std | 8.17E+00 | 1.33E+02 | 1.34E+02 | 2.84E+02 | 8.02E+01 | 2.16E+02 | 3.93E+02 | 4.23E+02 | 2.21E+02 | 3.91E+02 |
|  | rank | 1 | 3 | 4 | 6 | 2 | 7 | 8 | 9 | 5 | 10 |
| Mean Rank | Mean Rank | 1.17 | 3.25 | 5.5 | 4.5 | 3.58 | 6.17 | 8 | 9.25 | 3.83 | 9.75 |
| Win | Win | \ | 11 | 12 | 11 | 12 | 12 | 12 | 12 | 12 | 12 |
